"""Customer Provided Item"" cannot be Purchase Item also","""Давальческое сырье"" не может быть также закупаемым товаром",
"""Customer Provided Item"" cannot have Valuation Rate","""Давальческое сырье"" не может иметь оценочную стоимость",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Нельзя снять отметку ""Является основным средством"", так как для данной позиции существует запись в основных средствах",
'Based On' and 'Group By' can not be same,"'Параметры """"На основании"""" и """"Группировать по"""" не могут совпадать'",
'Days Since Last Order' must be greater than or equal to zero,'Количество дней с последнего заказа должно быть больше или равно нулю',
'Entries' cannot be empty,'Проводки не могут быть пустыми',
'From Date' is required,'Дата начала периода обязательна к заполнению',
'From Date' must be after 'To Date','Дата начала должна быть раньше даты окончания',
'Has Serial No' can not be 'Yes' for non-stock item,"'Параметр """"Имеет серийный номер"""" не может быть установлен для нескладируемого товара'",
'Opening','Входящий остаток',
'To Case No.' cannot be less than 'From Case No.',"'Номер дела До' не может быть меньше, чем 'Номер дела От'",
'To Date' is required,'Дата окончания периода обязательна к заполнению',
'Total','Итого',
'Update Stock' can not be checked because items are not delivered via {0},"Нельзя отметить 'Обновить запасы', так как товары не поставляются через {0}",
'Update Stock' cannot be checked for fixed asset sale,'Обновить запасы' нельзя отметить при продаже основных средств',
1 exact match.,1 точное совпадение.,
90-Above,90 и выше,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Группа клиентов с таким названием уже существует. Измените название клиента или название группы клиентов,
A Default Service Level Agreement already exists.,Соглашение об уровне обслуживания по умолчанию уже существует.,
A Lead requires either a person's name or an organization's name,Для лида требуется указать имя контактного лица или название организации,
A customer with the same name already exists,Клиент с таким названием уже существует,
A question must have more than one options,Вопрос должен иметь более одного варианта ответа,
A qustion must have at least one correct options,Вопрос должен иметь как минимум один правильный вариант ответа,
A4,A4,
API Endpoint,Конечная точка API,
API Key,Ключ API,
Abbr can not be blank or space,Аббревиатура не может быть пустой или содержать только пробел,
Abbreviation already used for another company,Аббревиатура уже используется другой компанией,
Abbreviation cannot have more than 5 characters,Аббревиатура не может содержать более 5 символов,
Abbreviation is mandatory,Аббревиатура обязательна к заполнению,
About the Company,О компании,
About your company,О вашей компании,
Above,Выше,
Academic Term,Учебный семестр,
Academic Term: ,Учебный семестр:,
Academic Year,Учебный год,
Academic Year: ,Учебный год:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Количество принятых + отклоненных должно быть равно полученному количеству для номенклатуры {0},
Access Token,Токен доступа,
Accessable Value,Доступное значение,
Account,Счет,
Account Number,Номер счета,
Account Number {0} already used in account {1},Номер счета {0} уже используется в счете {1},
Account Pay Only,Только оплата по счету,
Account Type,Тип счета,
Account Type for {0} must be {1},Тип счета для {0} должен быть {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс счета уже в кредите, нельзя установить 'Баланс должен быть' как 'Дебет'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс счета уже в дебете, нельзя установить 'Баланс должен быть' как 'Кредит'",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Номер для счета {0} недоступен.<br> Настройте план счетов.,
Account with child nodes cannot be converted to ledger,Счет с субсчетами не может быть преобразован в регистр,
Account with child nodes cannot be set as ledger,Счет с субсчетами не может быть установлен как регистр,
Account with existing transaction can not be converted to group.,Счет с существующими проводками не может быть преобразован в группу.,
Account with existing transaction can not be deleted,Счет с существующими проводками не может быть удален,
Account with existing transaction cannot be converted to ledger,Счет с существующими проводками не может быть преобразован в регистр,
Account {0} does not belong to company: {1},Счет {0} не принадлежит компании: {1},
Account {0} does not belongs to company {1},Счет {0} не принадлежит компании {1},
Account {0} does not exist,Счет {0} не существует,
Account {0} does not exists,Счет {0} не существует,
Account {0} does not match with Company {1} in Mode of Account: {2},Счет {0} не соответствует компании {1} в режиме счета: {2},
Account {0} has been entered multiple times,Счет {0} был введен несколько раз,
Account {0} is added in the child company {1},Счет {0} добавлен в дочернюю компанию {1},
Account {0} is frozen,Счет {0} заморожен,
Account {0} is invalid. Account Currency must be {1},Счет {0} недействителен. Валюта счета должна быть {1},
Account {0}: Parent account {1} can not be a ledger,Счет {0}: Родительский счет {1} не может быть регистром,
Account {0}: Parent account {1} does not belong to company: {2},Счет {0}: Родительский счет {1} не принадлежит компании: {2},
Account {0}: Parent account {1} does not exist,Счет {0}: Родительский счет {1} не существует,
Account {0}: You can not assign itself as parent account,Счет {0}: Нельзя назначить счет своим собственным родительским счетом,
Account: {0} can only be updated via Stock Transactions,Счет: {0} можно обновить только через складские операции,
Account: {0} with currency: {1} can not be selected,Счет: {0} с валютой: {1} не может быть выбран,
Accountant,Бухгалтер,
Accounting,Бухгалтерский учет,
Accounting Entry for Asset,Бухгалтерская проводка по основному средству,
Accounting Entry for Stock,Бухгалтерская проводка по складу,
Accounting Entry for {0}: {1} can only be made in currency: {2},Бухгалтерская проводка для {0}: {1} может быть создана только в валюте: {2},
Accounting Ledger,Бухгалтерская книга,
Accounting journal entries.,Бухгалтерские проводки.,
Accounts,Счета,
Accounts Manager,Руководитель по бухгалтерии,
Accounts Payable,Кредиторская задолженность,
Accounts Payable Summary,Сводка по кредиторской задолженности,
Accounts Receivable,Дебиторская задолженность,
Accounts Receivable Summary,Сводка по дебиторской задолженности,
Accounts User,Пользователь бухгалтерии,
Accounts table cannot be blank.,Таблица счетов не может быть пустой.,
Accumulated Depreciation,Накопленная амортизация,
Accumulated Depreciation Amount,Сумма накопленной амортизации,
Accumulated Depreciation as on,Накопленная амортизация на дату,
Accumulated Monthly,Накоплено за месяц,
Accumulated Values,Накопленные значения,
Accumulated Values in Group Company,Накопленные значения по группе компаний,
Achieved ({}),Достигнуто ({}),
Action,Действие,
Action Initialised,Действие инициализировано,
Actions,Действия,
Active,Активный,
