Source,Translated
"Accounts Opening Balance","Начальное сальдо счетов"
"Address","Адрес"
"Address Template","Шаблон адреса"
"Advance Payment Entry","Запись авансового платежа"
"Applying Discount","Применение скидки"
"Applying Margin","Применение наценки"
"Asset Category","Категория активов"
"Authorization Rule","Правило авторизации"
"Auto-creation of Material Request","Автоматическое создание заявки на материалы"
"Auto Email Reports","Автоматическая отправка отчетов по email"
"Barcode","Штрихкод"
"Batch","Партия"
"Bill of Material","Спецификация"
"BOM Update Tool","Инструмент обновления спецификаций"
"Budgeting","Бюджетирование"
"Bulk Rename","Массовое переименование"
"Buying Settings","Настройки закупок"
"Campaign","Кампания"
"Chart of Accounts","План счетов"
"Cheque Print Template","Шаблон печати чека"
"Close Sales Order","Закрытие заказа на продажу"
"Company","Компания"
"Contact","Контакт"
"Credit Limit","Кредитный лимит"
"Customer","Клиент"
"Custom Field","Пользовательское поле"
"Customize Field","Настройка поля"
"Delete All Related Transactions for a Company","Удалить все связанные транзакции для компании"
"Delivery Note","Накладная доставки"
"Dropbox Settings","Настройки Dropbox"
"Drop Shipping","Прямая поставка"
"Email Account","Учетная запись электронной почты"
"Email Digest","Email-дайджест"
"Fractions in UOM","Дроби в единицах измерения"
"Global Settings","Глобальные настройки"
"Importing and Exporting Data","Импорт и экспорт данных"
"Installation Note","Заметка о монтаже"
"Item","Номенклатура"
"Item Attribute","Атрибут номенклатуры"
"Item Codification","Кодирование номенклатуры"
"Item Group","Группа номенклатуры"
"Item Price","Цена номенклатуры"
"Item UoM","Единица измерения номенклатуры"
"Item Valuation","Оценка номенклатуры"
"Item Variants","Варианты номенклатуры"
"Item Wise Taxation","Налогообложение по номенклатуре"
"Journal Entry","Запись в журнале"
"Landed Cost Voucher","Ваучер стоимости с доставкой"
"LDAP Settings","Настройки LDAP"
"Lead","Лид"
"Letter Head","Фирменный бланк"
"Managing Fixed Assets","Управление основными средствами"
"Managing Perm Level in Permissions Manager","Управление уровнями прав в менеджере разрешений"
"Managing Tree Mastes","Управление древовидными справочниками"
"Material Request","Заявка на материалы"
"Naming Series","Серия нумерации"
"Nested BOM Structure","Вложенная структура спецификации"
"Newsletter","Рассылка"
"New User","Новый пользователь"
"Notification","Уведомление"
"Opening Stock","Начальные остатки"
"Opening Stock Entry","Ввод начальных остатков"
"Operation","Операция"
"Opportunity","Возможность"
"Packing Slip","Упаковочный лист"
"Password","Пароль"
"Payment Entry","Запись платежа"
"Payment Request","Запрос на оплату"
"PayPal Settings","Настройки PayPal"
"Point of Sale Invoice","Счет точки продаж"
"Point of Sale Profile","Профиль точки продаж"
"POS Profile","Профиль POS"
"Price List","Прайс-лист"
"Print Format Builder","Конструктор форматов печати"
"Print Heading","Заголовок печати"
"Print Settings","Настройки печати"
"Product Bundle","Набор продуктов"
"Purchase Invoice","Счет на покупку"
"Purchase Order","Заказ на покупку"
"Purchase Receipt","Поступление товаров"
"Quality Inspection","Проверка качества"
"Quotation","Коммерческое предложение"
"Razorpay Settings","Настройки Razorpay"
"Recurring Purchase Invoice","Периодический счет на покупку"
"Recurring Purchase Order","Периодический заказ на покупку"
"Recurring Sales Invoice","Периодический счет на продажу"
"Recurring Sales Order","Периодический заказ на продажу"
"Rename User","Переименовать пользователя"
"Repack Entry","Запись переупаковки"
"Request for Quotation","Запрос на коммерческое предложение"
"RFQ Video","Видео о запросе предложений"
"Role Based Permissions","Права доступа на основе ролей"
"Role Permissions Manager","Менеджер прав доступа ролей"
"Sales Invoice","Счет на продажу"
"Sales Order","Заказ на продажу"
"Sales Person","Продавец"
"Sales Person in Transactions","Продавец в транзакциях"
"Sales Person Target","Цель продавца"
"Sales Return","Возврат продаж"
"Selling Settings","Настройки продаж"
"Serial No","Серийный номер"
"Setting Up Taxes","Настройка налогов"
"Sharing","Совместное использование"
"SMS Settings","Настройки SMS"
"Stock Entry","Складская операция"
"Stock Entry Types","Типы складских операций"
"Stock Reconciliation","Инвентаризация"
"Stripe Settings","Настройки Stripe"
"Subcontracting","Субподряд"
"Supplier","Поставщик"
"Supplier Item Code","Код номенклатуры поставщика"
"Supplier Quotation","Предложение поставщика"
"System Settings","Системные настройки"
"Terms and Conditions","Условия и положения"
"Territory","Территория"
"User Permissions","Пользовательские разрешения"
"Warehouse","Склад"
"Workflow","Рабочий процесс"
"Work Order","Производственный заказ"
"Workstation","Рабочий центр"
